Tiempo	Ax	Ay	Az
"0,066"	"-0,3333"	"-0,2"	"0,8667"
"0,466"	"-0,3333"	"-0,2"	"0,8667"
"0,866"	"-0,3333"	"-0,2"	"0,8"
"1,266"	"-0,3333"	"-0,2"	"0,8"
"1,499"	"-0,2"	"-0,2667"	"0,5333"
"1,566"	"-0,4"	"-0,2667"	"10,667"
"1,666"	"-0,4"	"-0,4667"	"10,667"
"1,866"	"-0,2"	"-0,2667"	"0,7333"
"2,266"	"-0,2"	"-0,4"	"0,8"
"2,666"	"-0,2667"	"-0,4667"	"0,8"
"3,066"	"-0,2667"	"-0,2"	"0,8667"
"3,433"	"-0,2667"	"-0,0667"	"0,5333"
"3,533"	"-0,2"	"0,2667"	"0,6667"
"3,566"	"-0,4"	"12,667"	"1,8"
"3,699"	"-0,1333"	-1	"0,8667"
"3,733"	"-13,333"	"0,5333"	"1,8"
"3,766"	"-1,2"	1	"2,8"
"3,799"	-1	"-10,667"	"4,6"
"3,833"	"14,667"	"15,333"	"-0,5333"
"3,866"	2	"-0,4"	"0,1333"
"3,899"	"-0,9333"	"-0,1333"	"-0,6667"
"3,933"	0	"0,2667"	"-0,4"
"3,966"	"0,8667"	"-0,5333"	"-0,8667"
"3,999"	"0,0667"	"-13,333"	"0,8667"
"4,033"	"0,4667"	"-13,333"	"17,333"
"4,066"	"-0,7333"	"-11,333"	"15,333"
"4,099"	"-0,1333"	"-0,2667"	"12,667"
"4,133"	"0,5333"	"0,2667"	"22,667"
"4,166"	"-0,3333"	"0,0667"	1
"4,199"	"-0,2"	"0,5333"	"-0,2"
"4,266"	0	0	"-0,5333"
"4,299"	"0,4"	"-0,4"	"-0,4667"
"4,333"	"0,2667"	"-0,4667"	"0,0667"
"4,366"	"0,6667"	"-0,6"	"0,0667"
"4,399"	"-0,1333"	"-1,6"	"16,667"
"4,433"	"11,333"	"-1,8"	"10,667"
"4,466"	"0,7333"	"-15,333"	"0,9333"
"4,499"	"0,6"	"-0,9333"	"0,7333"
"4,566"	"0,6667"	"-14,667"	"0,9333"
"4,633"	"0,6667"	"-11,333"	"0,7333"
"4,699"	"0,6"	"-1,4"	"0,6"
"4,733"	"0,6667"	"-16,667"	"0,6"
"4,799"	"0,4667"	"0,0667"	0
"5,033"	"-0,1333"	"-0,8"	"0,7333"
"5,099"	0	"-0,3333"	"0,6"
"5,133"	"0,2667"	"-0,4"	"0,4"
"5,166"	0	"-10,667"	"11,333"
"5,233"	0	"-0,8667"	"0,8"
"5,266"	"-0,0667"	"-0,9333"	"12,667"
"5,299"	"-0,0667"	"-0,6"	"1,6"
"5,333"	"-0,6"	0	"17,333"
"5,366"	"-0,4"	"-0,0667"	"11,333"
"5,399"	"-0,1333"	0	"0,7333"
"5,466"	"-0,0667"	"-0,2"	"0,2667"
"5,499"	"0,0667"	"-0,4667"	"0,2"
"5,633"	"0,0667"	"0,0667"	"0,2667"
"5,666"	"-0,0667"	"0,6"	"0,6667"
"5,699"	"-0,3333"	0	"16,667"
"5,733"	"-0,5333"	"-0,6667"	"21,333"
"5,766"	"-0,3333"	"0,2"	"19,333"
"5,799"	"-0,3333"	"-0,1333"	"12,667"
"5,833"	"-0,2"	"0,2667"	"1,2"
"5,866"	"-0,4667"	0	"17,333"
"5,899"	"-0,4"	"0,4"	"2,6"
"5,933"	"-0,4"	"0,7333"	"28,667"
"5,966"	"-1,4"	0	"1,8"
"5,999"	"-0,0667"	"-0,2667"	"-0,2"
"6,033"	"0,0667"	"-0,2667"	"-1,4"
"6,066"	"10,667"	"19,333"	"14,667"
"6,133"	"0,5333"	"-1,6"	"-0,4667"
"6,333"	"-0,2"	"11,333"	"2,4"
"6,366"	"-0,2667"	"0,5333"	"-0,0667"
"6,399"	0	"0,1333"	"-0,2667"
"6,433"	"-0,0667"	"-0,2"	"-0,5333"
"6,466"	"0,2"	"-0,2"	"-0,1333"
"6,499"	"-0,0667"	"-0,2667"	"0,4"
"6,533"	"0,7333"	"-13,333"	"0,2"
"6,566"	"0,2667"	-3	"20,667"
"6,599"	"0,4667"	"-13,333"	"10,667"
"6,633"	"0,1333"	"-0,9333"	"0,7333"
"6,666"	"0,4667"	-1	"0,5333"
"6,699"	"0,4"	"-13,333"	"0,6"
"6,733"	"0,5333"	"-17,333"	"0,6667"
"6,766"	"0,6"	"-12,667"	"0,5333"
"6,999"	"0,4"	"-1,6"	"0,5333"
"7,066"	"0,3333"	"-11,333"	"0,8"
"7,099"	0	"-0,4667"	"11,333"
"7,133"	0	"0,8667"	"0,7333"
"7,166"	"-0,3333"	"0,8667"	"0,4667"
"7,199"	"-0,1333"	"0,3333"	"0,1333"
"7,233"	"-0,1333"	0	0
"7,266"	0	"-0,3333"	"0,5333"
"7,299"	"0,1333"	"-0,6667"	"0,7333"
"7,333"	"-0,0667"	"-0,5333"	"0,6667"
"7,366"	"0,0667"	"-0,1333"	"0,4667"
"7,399"	"0,2"	"-0,4667"	"11,333"
"7,799"	"-0,0667"	"-0,3333"	"0,5333"
"7,933"	0	"0,0667"	"0,0667"
"7,966"	0	"0,2"	"-0,2"
"8,033"	"-0,1333"	"-0,1333"	"0,8"
"8,066"	"-0,2667"	"-0,8"	"2,4"
"8,099"	"0,1333"	"0,8"	"18,667"
"8,133"	"-0,7333"	"-0,2"	"20,667"
"8,166"	"-0,5333"	0	"1,8"
"8,199"	"-0,6"	"-0,0667"	"25,333"
"8,233"	"-10,667"	"0,4667"	"31,333"
"8,266"	"-0,7333"	"0,2667"	"28,667"
"8,299"	"0,6"	"15,333"	"-0,5333"
"8,332"	0	"0,6"	"-24,667"
"8,366"	"0,3333"	"-0,6667"	"-0,4667"
"8,399"	"0,3333"	"0,2667"	"-0,1333"
"8,432"	"-0,2"	"-16,667"	"0,4667"
"8,466"	"0,2667"	"-0,1333"	"0,4667"
"8,499"	"-0,4"	"-0,2667"	"0,8"
"8,532"	"0,8"	"0,2667"	"-0,2667"
"8,566"	"0,2667"	"1,4"	"15,333"
"8,599"	"-0,6"	"-0,3333"	"44,667"
"8,632"	"0,0667"	"-0,8667"	"-0,3333"
"8,666"	"-0,3333"	"-0,6"	"0,4667"
"8,699"	0	"-1,6"	"15,333"
"8,966"	"0,6667"	"-13,333"	"0,6"
"8,999"	"0,7333"	-1	"0,4"
"9,032"	"0,6"	"-1,4"	"0,6"
"9,166"	"0,6"	"-10,667"	"0,4667"
"9,232"	"0,5333"	"-13,333"	"0,4667"
"9,432"	"0,2667"	"-1,2"	"0,6"
"9,466"	0	"-0,7333"	1
"9,499"	"-0,0667"	"0,2667"	"0,8667"
"9,532"	0	"0,4667"	"0,3333"
"9,566"	"-0,3333"	"0,4"	"0,2667"
"9,599"	"-0,0667"	"0,1333"	"0,1333"
"9,632"	"-0,2"	"-0,2"	"0,5333"
"9,666"	"-0,1333"	"-0,8"	"0,9333"
"9,699"	0	"-0,6667"	"0,6667"
"9,732"	"0,2"	"-0,7333"	"0,6"
"9,766"	"0,2"	"-0,3333"	"0,4"
"9,799"	"-0,1333"	-1	"11,333"
"9,866"	0	"-0,8667"	"0,4"
"9,899"	0	"-0,8667"	"0,8667"
"9,966"	0	"-0,4667"	"0,9333"
"9,999"	"-0,2"	0	"11,333"
"10,132"	"-0,2"	"-0,4"	"0,4667"
"10,266"	"0,2"	"-0,6"	"0,4"
"10,299"	"-0,1333"	"-0,4"	"0,5333"
"10,332"	0	"0,1333"	"0,1333"
"10,366"	0	"0,4"	"-0,2"
"10,432"	"-0,2"	"-0,1333"	"0,6667"
"10,466"	"-0,5333"	"-0,8667"	"20,667"
"10,499"	"-0,4"	"0,1333"	"29,333"
"10,532"	"-0,6667"	"-0,0667"	"1,6"
"10,566"	"-0,4"	"-0,0667"	"20,667"
"10,599"	"-0,4667"	"-0,5333"	"22,667"
"10,632"	"-0,7333"	"-0,0667"	"29,333"
"10,666"	"-0,8"	"0,7333"	"34,667"
"10,699"	"-0,5333"	"-0,8667"	2
"10,732"	"0,3333"	"0,9333"	"-12,667"
"10,766"	"-0,2"	"-0,4"	"-0,4667"
"10,799"	"2,8"	"12,667"	"0,9333"
"10,832"	"-22,667"	"-0,6667"	-1
"10,866"	0	"-10,667"	"0,8"
"10,899"	"0,1333"	"-0,2667"	1
"10,932"	"-0,0667"	"0,4667"	"-0,0667"
"10,966"	"13,333"	"0,7333"	"0,7333"
"10,999"	"-11,333"	"0,2"	2
"11,032"	"-14,667"	"-0,5333"	"26,667"
"11,066"	"0,9333"	"-1,2"	"0,3333"
"11,099"	"0,1333"	"0,3333"	"14,667"
"11,132"	0	"0,6"	"-0,0667"
"11,166"	"0,1333"	"0,4"	"-0,6667"
"11,199"	"0,1333"	"-0,3333"	"-0,4667"
"11,232"	"0,1333"	"-0,8667"	"-0,1333"
"11,266"	"0,9333"	"-0,4"	"0,5333"
"11,299"	"-0,5333"	"-1,8"	"1,6"
"11,332"	"16,667"	"-0,9333"	"0,4"
"11,832"	"0,2667"	"-11,333"	"0,5333"
"11,899"	"0,2667"	"-1,2"	"0,8"
"11,932"	"0,2"	-1	"0,9333"
"11,966"	"-0,2667"	"-0,3333"	"0,9333"
"11,999"	"0,0667"	"0,2667"	"0,3333"
"12,032"	0	"0,4"	"0,1333"
"12,099"	"-0,1333"	0	"0,4"
"12,132"	"-0,2"	"-0,4667"	"0,8"
"12,199"	"0,2667"	"-0,7333"	"0,4667"
"12,232"	"0,2"	"-0,4"	"0,3333"
"12,266"	"-0,1333"	"-0,8"	"11,333"
"12,332"	"0,2"	"-0,6667"	"0,4"
"12,366"	0	"-0,9333"	"0,8667"
"12,432"	"-0,0667"	"-0,4667"	1
"12,466"	"-0,4"	0	"12,667"
"12,499"	"-0,2667"	"-0,0667"	1
"12,599"	"-0,3333"	"-0,1333"	"12,667"
"12,632"	"-0,2667"	"-0,2"	1
"12,666"	"-0,0667"	"-0,4667"	"0,4"
"12,932"	"-0,0667"	0	0
"12,966"	0	"0,4"	"-0,0667"
"12,999"	0	"0,0667"	"0,8"
"13,032"	"-0,2667"	"-0,4"	2
"13,066"	"-0,6"	"-0,2"	"2,6"
"13,099"	"-0,7333"	"0,4667"	"22,667"
"13,132"	"-0,2667"	"0,2667"	1
"13,166"	"-0,0667"	"-0,4667"	"13,333"
"13,199"	"-0,5333"	"-0,4667"	"19,333"
"13,232"	"-0,3333"	"-0,2"	"22,667"
"13,266"	"-0,6667"	"0,9333"	3
"13,299"	"-0,5333"	"-0,3333"	"17,333"
"13,332"	"0,2"	"-0,0667"	"-0,5333"
"13,399"	"0,0667"	"-0,4667"	"-18,667"
"13,432"	"0,2667"	1	"0,9333"
"13,466"	"-15,333"	"-1,8"	"1,2"
"13,499"	"15,333"	"0,1333"	2
"13,532"	"0,9333"	"0,7333"	"-0,3333"
"13,566"	"-0,2"	"10,667"	"15,333"
"13,599"	"-1,6"	"-0,2"	"22,667"
"13,632"	"0,1333"	"-11,333"	"0,6667"
"13,666"	"-0,2667"	"0,6667"	"0,8"
"13,699"	0	"1,2"	"-0,4667"
"13,732"	"0,1333"	"0,1333"	"-0,5333"
"13,766"	"0,2"	"-0,6"	"-0,2667"
"13,799"	"0,3333"	"-0,7333"	"0,2"
"13,832"	"0,9333"	"-0,6"	"0,8667"
"13,866"	-1	-2	"21,333"
"13,899"	"17,333"	"-17,333"	"11,333"
"13,932"	"0,7333"	"-10,667"	"0,9333"
"13,999"	"0,6667"	"-0,9333"	"0,6667"
"14,299"	"0,4"	"-0,7333"	"0,8"
"14,432"	"0,0667"	"-0,4667"	"0,8667"
"14,466"	0	"-0,2"	"0,5333"
"14,499"	"-0,0667"	"0,0667"	"0,4"
"14,532"	"-0,2667"	"0,4"	"0,3333"
"14,566"	"-0,2"	"0,4"	"0,6667"
"14,599"	"-0,1333"	"0,0667"	"0,8667"
"14,632"	"-0,0667"	"-0,2"	"0,9333"
"14,766"	"0,2"	"-0,4667"	1
"14,799"	"0,1333"	"-0,8667"	"12,667"
"14,832"	"0,0667"	"-0,6"	1
"14,866"	"0,2"	"-0,5333"	"0,7333"
"14,932"	"0,2"	"-0,8667"	"0,8667"
"14,966"	0	"-0,5333"	"0,7333"
"15,066"	"0,0667"	"-0,5333"	"0,5333"
"15,266"	"-0,1333"	"-0,6"	"0,7333"
"15,666"	"-0,1333"	"-0,4667"	"0,7333"
